Date ID,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),ADX,MACD,MACD_Sig,MACD_Hist,MOM,ATR,RSI,SlowD,SlowK,WILLR,Upper_Band,Middle_Band,Lower_Band,SMA,EMA,Actual Close Value,Label
29087,-1.098304436,-1.092678886,-1.096800378,-1.073801578,1.177166011,0.2614023553,-0.1820094125,1.252838257,0.8939008059,1.258363349,1.140250466,-0.3860004404,1.302081487,0.6306486249,0.6855284299,1.243506706,-1.10823163,-1.109645327,-1.109626051,-1.290856842,-1.242749835,5269.9,1
36162,-1.052016191,-1.06426577,-1.054931332,-1.052358164,3.013980946,1.427506327,-0.03712707864,1.352403037,1.005095013,1.244284531,1.357849924,-0.4463986258,1.42261963,1.315061957,0.9258307264,1.171112713,-1.081401842,-1.095616785,-1.108491874,-1.279476077,-1.230076924,5325.85,1
3520,-1.049512432,-1.036134592,-1.036239233,-1.01727749,0.8645376513,0.0732607058,0.133248812,1.475727433,1.120368583,1.290643728,1.326186108,-0.4474098934,1.608442516,1.400835784,1.205466047,1.251246366,-1.043127701,-1.080387771,-1.116462604,-1.266486019,-1.215916866,5361.65,1
24745,-0.984821557,-1.00155016,-0.9912652907,-0.9948308751,0.8239432139,0.1228210107,0.3314816996,1.593288427,1.237675698,1.313753579,1.352850374,-0.5034216892,1.720142893,1.338016703,1.460374093,1.123777526,-1.035068679,-1.045900937,-1.055438123,-1.254115899,-1.201195647,5335.15,1
31820,-0.963852575,-0.9869520213,-0.9939624727,-1.011446386,0.2200096406,-0.2224394584,0.531482093,1.633965779,1.340202193,1.145781858,1.237860726,-0.4598759303,1.477023555,1.081250125,1.376117368,0.7990216807,-1.034181857,-1.028817793,-1.022086079,-1.241703318,-1.188515801,5368.15,0
38895,-1.00713631,-0.9972584327,-0.9925511565,-0.9907553724,1.199195716,0.7542994816,0.717196744,1.681779241,1.432427084,1.028711103,1.008833726,-0.4876432742,1.59252829,0.8333314519,1.171610797,0.9713050852,-1.031509846,-1.012168326,-0.9913990004,-1.227641105,-1.175294637,5412.35,1
6253,-1.007605764,-0.9806553992,-0.9839578091,-0.9630419538,1.540881585,0.2908549881,0.9088494027,1.747407945,1.520212576,0.9782603466,1.071923285,-0.4667430412,1.73989474,0.8807215715,1.00681935,1.224183231,-1.019424591,-0.9942618218,-0.9676604439,-1.211376197,-1.161105717,5381.6,1
13328,-0.9720836828,-0.9779299955,-0.9826092181,-0.9823222167,1.007009414,0.005925157768,1.090013753,1.74079582,1.589029901,0.7626999715,0.704575404,-0.4393118358,1.442427096,0.7208211968,0.8769347305,0.9511502374,-1.01871109,-0.9872538358,-0.9543302466,-1.19529812,-1.149098899,5390.2,0
34553,-0.9831628166,-0.9821277437,-0.9761171637,-0.9769300131,0.2265567362,-0.2449786496,1.258237792,1.722523167,1.640184261,0.5619723479,1.304521392,-0.4760248093,1.475774017,0.5796269286,0.7855094507,0.9956358298,-1.01477237,-0.9836649927,-0.9510979889,-1.179301782,-1.137512453,5416.05,1
1911,-0.9839765383,-0.9777420367,-0.9594636328,-0.9607220522,0.5803002195,-0.261964983,1.420275756,1.714989788,1.679500079,0.4274353321,0.8945583001,-0.5814182415,1.577413519,0.5184611232,0.6549648218,1.199796045,-1.013874366,-0.9734955564,-0.9316160811,-1.165485845,-1.125608679,5531.95,1
8986,-0.9340265453,-0.9062863394,-0.9076212853,-0.8880527035,2.593465836,0.9823210935,1.649640795,1.818622514,1.733068611,0.5894077739,1.272857576,-0.4022785219,1.963153433,0.9881469719,0.7512986729,1.238452467,-0.9481104564,-0.9529052762,-0.9564904845,-1.148876999,-1.109698609,5521.95,1
16061,-0.9007578469,-0.9129902058,-0.8931004099,-0.8943227077,1.803826774,0.6374760407,1.862622616,1.864631199,1.78574198,0.579234857,1.062400332,-0.5198692313,1.860372439,1.298627961,1.010398786,1.171168456,-0.9207166817,-0.9391281413,-0.9564275544,-1.132486829,-1.095226926,5564.3,0
23136,-0.8629197882,-0.8658125293,-0.854555797,-0.8677692399,2.859760024,1.57447222,2.101008443,1.92465293,1.840689691,0.605081217,0.9976442575,-0.4957553434,1.99064938,1.239191937,1.270122244,1.033862644,-0.8935064263,-0.9161620596,-0.937760308,-1.115285644,-1.079944372,5607.15,1
